group,value,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,sensitivity_macro,specificity_macro,auc_roc
stance,0,783,0.45849297573435505,0.6807633526383526,0.6011894934333959,0.44087252933805793,0.7928890507913495,0.45849297573435505,0.40499780753840275,0.6011894934333959,0.6011894934333959,0.8623414634146342
stance,1,684,0.3128654970760234,0.6356589147286822,0.5383104125736738,0.2845825173580203,0.8135681581214017,0.3128654970760234,0.21512284657998323,0.5383104125736738,0.5383104125736738,0.8159079427448779
stance,2,573,0.3507853403141361,0.625,0.5857461024498887,0.3463878326996198,0.837696335078534,0.3507853403141361,0.3159795353651982,0.5857461024498887,0.5857461024498887,0.9217616208060924
bot,0,1491,0.15157612340710933,0.5,0.07578806170355466,0.13162492719860222,1.0,0.15157612340710933,0.26324985439720444,0.07578806170355466,0.07578806170355466,nan
bot,1,549,0.9981785063752276,0.5,0.4990892531876138,0.4995442114858706,1.0,0.9981785063752276,0.9990884229717413,0.4990892531876138,0.4990892531876138,nan
