group,value,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,sensitivity_macro,specificity_macro,auc_roc
stance,0,783,0.3831417624521073,0.6142972009735744,0.5394709193245778,0.3462513807427229,0.7141704667775061,0.3831417624521073,0.29012246663650904,0.5394709193245778,0.5394709193245778,0.6749418386491557
stance,1,684,0.5350877192982456,0.6717634104137171,0.6838731406118439,0.5346898959474261,0.8270344336537427,0.5350877192982456,0.5413335459061125,0.6838731406118439,0.6838731406118439,0.9128599494807746
stance,2,573,0.38917975567190227,0.630801687763713,0.6102449888641426,0.3880147938383419,0.8402073622432824,0.38917975567190227,0.37287029000205735,0.6102449888641426,0.6102449888641426,0.829244198577484
bot,0,1491,0.2340710932260228,0.5,0.1170355466130114,0.18967391304347825,1.0,0.2340710932260228,0.3793478260869565,0.1170355466130114,0.1170355466130114,nan
bot,1,549,0.9836065573770492,0.5,0.4918032786885246,0.49586776859504134,1.0,0.9836065573770492,0.9917355371900826,0.4918032786885246,0.4918032786885246,nan
